galaxy,cig_index,hi_diameter_kpc,hi_diameter_err_kpc,optical_diameter_kpc,optical_diameter_err_kpc,hi_mass,hi_mass_err,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error
CIG96,96,81.84982309833657,0.4470897673795246,21.989443908973172,1.5189769724409103,11811111719.171944,33524.46391498734,20.347,2.2614691857076603,7.701722453113517e+19,0.0002838383440279
CIG102,102,100.40456086899508,1.011213493009146,10.16490467497194,1.6383890583407115,21479186817.95536,126844.4423949395,66.587,12.392459764752324,3.1489644445550043e+19,0.0005905458315065
CIG103,103,41.09311867459744,0.2020146967519929,18.414970604000107,1.272061104020826,9770017588.06741,47071.300748279886,20.486,6.9298606716908,2.761840058234232e+19,0.0004817934084967
CIG123,123,101.74009019976567,0.4189658942058833,41.298711924165126,2.852813953093142,32482137088.8916,1052008.1879209334,78.023,8.921138219581403,1.4960122231030156e+20,0.0032387283664309
CIG147,147,74.9684172017054,0.3179802520246239,18.97804515756913,1.747942554959461,10244338345.719715,44031.0316675085,35.854,7.05602939264275,2.8783786406479094e+19,0.0004298084481552
CIG159,159,63.20536871084615,1.9222114638742631,55.000315560637176,2.5328581343978325,8348231763.828706,57883.45348618268,57.102,10.398993049408029,3.169281349346903e+19,0.0006933618414498
CIG188,188,30.026817589887298,0.0901528813137871,23.002737425068943,2.1186304117207997,1253212723.6192424,15667.44934146375,24.438,6.699017868948775,4.062954979721262e+19,0.0012501827539874
CIG232,232,50.41041326253799,0.3654498339805747,33.36075738328619,2.304479479252375,11555737259.431908,67679.51390857335,69.107,12.830277506253305,3.130709085024097e+19,0.0005856788916979
CIG240,240,37.11507268260358,0.0,26.435949775844627,3.652261432379947,2409789024.24345,82911.93105610067,64.34,25.75141696853228,1.7375344959224826e+19,0.0034406302884598
CIG292,292,39.68902359911061,0.0620660115879499,20.087677112553603,1.3876075761673081,2106198923.8914244,12382.900610069431,23.4,7.124350376357255,1.560758686357525e+19,0.0005879264522265
CIG314,314,52.83591293991133,0.2230491120432426,21.173502877601855,1.462613762772977,9329079694.449692,33610.84417487024,34.047,6.501116645051761,3.18120649203102e+19,0.0003602803843005
CIG329,329,81.06727704291039,0.9111209251643466,39.83453338406785,2.7516720826958494,7704140275.115481,94583.2833951551,52.065,4.890917326451168,1.0630290642492005e+20,0.0012276942010085
CIG359,359,24.02137177712033,0.0,19.627787771296745,2.711679091838323,1239966896.811264,57312.62120852809,61.54,26.75058428718909,8.035556146024047e+18,0.0046221089737084
CIG361,361,78.75445124388877,0.4827453974993054,42.18552254420355,2.9140726605134204,18204114758.160263,327355.94420338626,91.506,9.389059806690817,1.2090800307399492e+20,0.001798252475071
CIG421,421,75.68242636492705,0.3746479818330662,36.01207957332688,4.9752526555954715,9086637187.666384,141544.36147573835,89.688,32.73984413983556,1.4275728796078629e+19,0.001557719963419
CIG463,463,33.41077498584512,0.1050333773878388,20.56550294925558,12.075224232824652,3055299084.217823,13281.849452253053,28.283,8.54707842213183,1.3520033937079489e+19,0.0004347151976335
CIG512,512,18.404814124541257,0.0623731658733453,12.533579375427728,0.8657889909515253,1144903076.883715,20268.731757519592,20.154,2.1321091832508885,2.273368066747417e+20,0.0017703447712524
CIG551,551,42.26801967820869,0.289365266763561,17.96398063621803,1.2409078207136799,3794847594.386522,14539.57916294213,30.952,9.635571564161022,1.2098198128090591e+19,0.0003831400023666
CIG553,553,57.93672601028176,0.5205037285990339,37.75155525963016,4.346308418908269,5777828852.113831,441269.3453670714,91.88,12.624899833300567,2.3268266733128745e+20,0.007637286542429
CIG571,571,35.92430250432426,0.0704501980510862,10.572341713405015,1.7040601499127863,1915353701.3083832,228133.4091230085,33.148,13.684306313508475,5.520435365368486e+19,0.0119107718311855
CIG581,581,96.9223594601618,0.5220402135837203,7.201346187292072,1.8239883618383055,16243222292.043455,657246.5914398441,85.842,14.196537410167815,1.8230591257394587e+20,0.0040462820715184
CIG587,587,45.488300419648105,0.4648614225768324,24.950767321588977,6.319639138279913,4645083228.73306,492426.4168671489,100.779,15.083147377119378,2.0967171130781224e+20,0.0106010246236525
CIG604,604,40.63479235773043,0.1732969356474384,24.223201478925454,1.1155196525993016,1540785277.189482,4326.259924104668,22.936,4.879783342431496,6.855998499460782e+18,0.0002807827922652
CIG626,626,19.731731838253047,0.069352741878543,16.416443835370174,0.7560051771059473,806967656.4052422,14752.791884690483,17.847,3.6708284364695074,9.297652884897314e+19,0.0018281763547264
CIG660,660,24.92154638763335,85.77569942592011,9.02669964962262,1.039237202607781,1556550345.1935308,26681.31858964292,30.326,11.00311287283662,2.289388153652493e+19,0.0017141314235053
CIG676,676,61.77150520805159,1.0518467365038948,46.43234713441575,4.27657721377722,9042906190.849377,617273.5722213766,78.182,8.242543885875403,4.5186575292510536e+20,0.0068260530319998
CIG736,736,25.65958569981377,0.0939386539937413,24.66876103886582,0.5680192143072476,1706752963.5206232,31805.736545005468,18.986,7.182297144345839,1.8719434376295047e+19,0.0018635231474505
CIG744,744,37.92416192459158,0.1956595863449226,19.54377644540057,2.250060415199376,4562619491.272915,22779.339474627068,35.261,14.920628810740002,7.306327519786442e+18,0.0004992601184078
CIG812,812,93.79573710318668,0.510529097641011,14.712846249334202,1.3551032179692117,16519888943.676231,45211.64555655568,42.071,14.486430225126329,8.831203272372333e+18,0.0002736800816924
CIG983,983,52.448044125385685,0.2672366484942814,37.48601949786046,2.5894424907437292,7006125301.481659,340082.26185506245,66.093,8.990944693594699,2.2368546801060053e+20,0.0048540705057493
CIG988,988,65.45934440128119,0.0,57.29530138302674,3.9578192058947557,7607133902.114264,510706.3061587586,98.72,15.615569276825198,2.3399091573679653e+20,0.0067135180309737
CIG1000,1000,42.122528608512695,0.4410804068320887,26.049872200316493,2.999102370142438,5634584196.885446,299533.1484098913,76.224,10.021295604046248,2.4049694304339798e+20,0.0053159760852532
CIG1004,1004,62.08259535470745,0.471784188645029,34.330283714420595,1.5809679903816227,7787166652.039248,35458.45039977839,32.506,21.88798974312608,6.423443957398308e+18,0.0004553446970406
CIG1006,1006,31.023672500695334,0.2323142810664586,20.43561456426057,2.352737073091921,3156080490.404144,228321.79438227596,75.279,10.462707084929631,1.612745165809333e+20,0.0072343463696972
CIG1019,1019,82.27620024196897,0.2931614465722581,21.06138252462285,1.4548687631712565,12209953548.05172,61747.31892934105,47.838,17.15498722623296,1.277523579044495e+19,0.000505712971686
